"","WLR","Mean_LT","SE_LT","Mean_HT","SE_HT","Mean_HHT","SE_HHT","Max_Tide"
"1","Ditch1",1.014,0.01,1.33,0.036,1.555,0.075,1.914
"2","Ditch2",1.07,0.009,1.342,0.034,1.641,0.086,1.9
"3","Ditch3",1.153,0.009,1.393,0.031,1.593,0.077,1.914
"4","NAC1",1.427,0.002,1.482,0.014,1.517,0.033,1.914
"5","NAC1Pool",1.428,0.002,1.508,0.018,1.612,0.048,1.914
"6","NAC2",1.382,0.005,1.479,0.02,1.519,0.05,1.9
"7","NAC3",1.386,0.002,1.482,0.019,1.548,0.045,1.914
"8","REF",1.323,0.008,1.428,0.022,1.583,0.06,1.914
"9","RUN1",1.386,0.003,1.471,0.018,1.549,0.047,1.914
"10","RUN2",1.337,0.004,1.445,0.022,1.509,0.061,1.9
"11","RUN2Pool",1.221,0.001,1.394,0.027,1.528,0.052,1.879
"12","RUN3",1.406,0.001,1.478,0.017,1.535,0.045,1.914
"13","RUN3Pool",1.403,0.001,1.49,0.017,1.577,0.044,1.914
